Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;08;3MD045;2020-11-29;16:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0442477;ASB REZE 3;;;;GYMNASE DE BEAUFEUILLAGE;;;;
ABCCS;08;3MD046;2020-11-29;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0857865;AVENIR SPORTIF DE BOUFFERE;;;;2 RUISSEAUX;;;;
ABCCS;08;3MD047;2020-11-28;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;08;3MD048;2020-11-29;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;MARVILLE;;;;
ABCCS;09;3MD049;2020-12-06;15:00;;xxxxx;0355169;VOLLEY BALL CLUB MALOUIN;;;;;;;;
ABCCS;09;3MD050;2020-12-06;13:30;0448335;SAINT-HERBLAIN VOLLEY-BALL;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;09;3MD051;2020-12-06;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COUBERTIN;;;;
ABCCS;09;3MD052;2020-12-05;21:00;0857865;AVENIR SPORTIF DE BOUFFERE;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;BHS;;;;
ABCCS;09;3MD053;2020-12-05;21:00;0442477;ASB REZE 3;0351417;RENNES ETUDIANTS CLUB 3;;;;GYMNASE LIBERGE;;;;
ABCCS;09;3MD054;2020-12-06;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0353652;C.P.B. RENNES 35;;;;SALLE GUYADER;;;;
ABCCS;10;3MD055;2021-01-17;15:00;0293600;SAINT-RENAN IROISE VOLLEY;;xxxxx;;;;SALLE GUYADER;;;;
ABCCS;10;3MD056;2021-01-17;16:00;0353652;C.P.B. RENNES 35;0442477;ASB REZE 3;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;10;3MD057;2021-01-17;15:00;0351417;RENNES ETUDIANTS CLUB 3;0857865;AVENIR SPORTIF DE BOUFFERE;;;;COURTEMANCHE;;;;
ABCCS;10;3MD058;2021-01-17;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;SALLE STEREDENN;;;;
ABCCS;10;3MD059;2021-01-17;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;2 RUISSEAUX;;;;
ABCCS;10;3MD060;2021-01-16;19:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0355169;VOLLEY BALL CLUB MALOUIN;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;11;3MD061;2021-01-24;15:00;;xxxxx;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;;;;;
ABCCS;11;3MD062;2021-01-24;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;MARVILLE;;;;
ABCCS;11;3MD063;2021-01-24;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;11;3MD064;2021-01-24;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0351417;RENNES ETUDIANTS CLUB 3;;;;COUBERTIN;;;;
ABCCS;11;3MD065;2021-01-24;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0353652;C.P.B. RENNES 35;;;;BHS;;;;
ABCCS;11;3MD066;2021-01-24;14:00;0442477;ASB REZE 3;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE LIBERGE;;;;
ABCCS;12;3MD067;2021-01-31;15:00;;xxxxx;0442477;ASB REZE 3;;;;;;;;
ABCCS;12;3MD068;2021-01-31;15:00;0857865;AVENIR SPORTIF DE BOUFFERE;0293600;SAINT-RENAN IROISE VOLLEY;;;;BHS;;;;
ABCCS;12;3MD069;2021-01-31;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0353652;C.P.B. RENNES 35;;;;COUBERTIN;;;;
ABCCS;12;3MD070;2021-01-31;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0351417;RENNES ETUDIANTS CLUB 3;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;12;3MD071;2021-01-31;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;MARVILLE;;;;
ABCCS;12;3MD072;2021-01-31;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;13;3MD073;2021-02-07;15:00;;xxxxx;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;;;;;
ABCCS;13;3MD074;2021-02-07;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;SALLE STEREDENN;;;;
ABCCS;13;3MD075;2021-02-07;15:00;0351417;RENNES ETUDIANTS CLUB 3;0355169;VOLLEY BALL CLUB MALOUIN;;;;COURTEMANCHE;;;;
ABCCS;13;3MD076;2021-02-07;16:00;0353652;C.P.B. RENNES 35;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;13;3MD077;2021-02-07;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;SALLE GUYADER;;;;
ABCCS;13;3MD078;2021-02-06;14:00;0442477;ASB REZE 3;0857865;AVENIR SPORTIF DE BOUFFERE;;;;GYMNASE LIBERGE;;;;
ABCCS;14;3MD079;2021-02-21;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;;xxxxx;;;;BHS;;;;
ABCCS;14;3MD080;2021-02-21;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0442477;ASB REZE 3;;;;COUBERTIN;;;;
ABCCS;14;3MD081;2021-02-21;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0293600;SAINT-RENAN IROISE VOLLEY;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;14;3MD082;2021-02-21;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0353652;C.P.B. RENNES 35;;;;MARVILLE;;;;
ABCCS;14;3MD083;2021-02-20;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0351417;RENNES ETUDIANTS CLUB 3;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;14;3MD084;2021-02-21;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;2 RUISSEAUX;;;;
ABCCS;15;3MD085;2021-02-28;15:00;;xxxxx;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;;;;;
ABCCS;15;3MD086;2021-02-28;15:00;0351417;RENNES ETUDIANTS CLUB 3;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COURTEMANCHE;;;;
ABCCS;15;3MD087;2021-02-28;16:00;0353652;C.P.B. RENNES 35;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;15;3MD088;2021-02-28;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0355169;VOLLEY BALL CLUB MALOUIN;;;;SALLE GUYADER;;;;
ABCCS;15;3MD089;2021-02-27;20:00;0442477;ASB REZE 3;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;GYMNASE LIBERGE;;;;
ABCCS;15;3MD090;2021-02-27;21:00;0857865;AVENIR SPORTIF DE BOUFFERE;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;BHS;;;;
ABCCS;16;3MD091;2021-03-14;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;;xxxxx;;;;COUBERTIN;;;;
ABCCS;16;3MD092;2021-03-14;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0857865;AVENIR SPORTIF DE BOUFFERE;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;16;3MD093;2021-03-13;20:00;0355169;VOLLEY BALL CLUB MALOUIN;0442477;ASB REZE 3;;;;MARVILLE;;;;
ABCCS;16;3MD094;2021-03-14;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0293600;SAINT-RENAN IROISE VOLLEY;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;16;3MD095;2021-03-14;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0353652;C.P.B. RENNES 35;;;;2 RUISSEAUX;;;;
ABCCS;16;3MD096;2021-03-14;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0351417;RENNES ETUDIANTS CLUB 3;;;;SALLE STEREDENN;;;;
ABCCS;17;3MD097;2021-03-21;15:00;;xxxxx;0351417;RENNES ETUDIANTS CLUB 3;;;;;;;;
ABCCS;17;3MD098;2021-03-21;16:00;0353652;C.P.B. RENNES 35;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;17;3MD099;2021-03-21;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;SALLE GUYADER;;;;
ABCCS;17;3MD100;2021-03-21;14:00;0442477;ASB REZE 3;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE LIBERGE;;;;
ABCCS;17;3MD101;2021-03-21;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0355169;VOLLEY BALL CLUB MALOUIN;;;;BHS;;;;
ABCCS;17;3MD102;2021-03-21;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;COUBERTIN;;;;
ABCCS;18;3MD103;2021-03-28;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;;xxxxx;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;18;3MD104;2021-03-28;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;MARVILLE;;;;
ABCCS;18;3MD105;2021-03-28;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0857865;AVENIR SPORTIF DE BOUFFERE;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;18;3MD106;2021-03-28;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0442477;ASB REZE 3;;;;2 RUISSEAUX;;;;
ABCCS;18;3MD107;2021-03-28;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0293600;SAINT-RENAN IROISE VOLLEY;;;;SALLE STEREDENN;;;;
ABCCS;18;3MD108;2021-03-28;15:00;0351417;RENNES ETUDIANTS CLUB 3;0353652;C.P.B. RENNES 35;;;;COURTEMANCHE;;;;
ABCCS;19;3MD109;2021-04-11;15:00;;xxxxx;0353652;C.P.B. RENNES 35;;;;;;;;
ABCCS;19;3MD110;2021-04-11;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351417;RENNES ETUDIANTS CLUB 3;;;;SALLE GUYADER;;;;
ABCCS;19;3MD111;2021-04-10;21:00;0442477;ASB REZE 3;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;GYMNASE LIBERGE;;;;
ABCCS;19;3MD112;2021-04-11;16:00;0857865;AVENIR SPORTIF DE BOUFFERE;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;BHS;;;;
ABCCS;19;3MD113;2021-04-11;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;COUBERTIN;;;;
ABCCS;19;3MD114;2021-04-11;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0355169;VOLLEY BALL CLUB MALOUIN;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;20;3MD115;2021-04-18;16:00;0355169;VOLLEY BALL CLUB MALOUIN;;xxxxx;;;;MARVILLE;;;;
ABCCS;20;3MD116;2021-04-17;21:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;20;3MD117;2021-04-18;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;2 RUISSEAUX;;;;
ABCCS;20;3MD118;2021-04-18;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0857865;AVENIR SPORTIF DE BOUFFERE;;;;SALLE STEREDENN;;;;
ABCCS;20;3MD119;2021-04-18;15:00;0351417;RENNES ETUDIANTS CLUB 3;0442477;ASB REZE 3;;;;COURTEMANCHE;;;;
ABCCS;20;3MD120;2021-04-18;16:00;0353652;C.P.B. RENNES 35;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;21;3MD121;2021-04-25;15:00;;xxxxx;0293600;SAINT-RENAN IROISE VOLLEY;;;;;;;;
ABCCS;21;3MD122;2021-04-24;20:00;0442477;ASB REZE 3;0353652;C.P.B. RENNES 35;;;;GYMNASE LIBERGE;;;;
ABCCS;21;3MD123;2021-04-24;20:00;0857865;AVENIR SPORTIF DE BOUFFERE;0351417;RENNES ETUDIANTS CLUB 3;;;;BHS;;;;
ABCCS;21;3MD124;2021-04-25;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;;;;COUBERTIN;;;;
ABCCS;21;3MD125;2021-04-25;14:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COMPLEXE SPORTIF VIGNEAU;;;;
ABCCS;21;3MD126;2021-04-25;16:00;0355169;VOLLEY BALL CLUB MALOUIN;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;MARVILLE;;;;
ABCCS;22;3MD127;2021-05-02;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;;xxxxx;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;22;3MD128;2021-05-02;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0355169;VOLLEY BALL CLUB MALOUIN;;;;2 RUISSEAUX;;;;
ABCCS;22;3MD129;2021-05-02;15:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR 2;0448335;SAINT-HERBLAIN VOLLEY-BALL;;;;SALLE STEREDENN;;;;
ABCCS;22;3MD130;2021-05-02;15:00;0351417;RENNES ETUDIANTS CLUB 3;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;COURTEMANCHE;;;;
ABCCS;22;3MD131;2021-05-02;16:00;0353652;C.P.B. RENNES 35;0857865;AVENIR SPORTIF DE BOUFFERE;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;22;3MD132;2021-05-02;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0442477;ASB REZE 3;;;;SALLE GUYADER;;;;
