Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;09;3MD054;2020-01-12;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0293606;KLOAR-AVEN VB 29;;;;SALLE GUYADER;;;;
ABCCS;10;3MD055;2020-01-19;15:00;0293600;SAINT-RENAN IROISE VOLLEY;;xxxxx;;;;SALLE GUYADER;;;;
ABCCS;10;3MD056;2020-01-19;15:00;0293606;KLOAR-AVEN VB 29;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;SALLE DES SPORTS;;;;
ABCCS;10;3MD057;2020-01-19;15:00;0534442;ASPTT LAVAL;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;10;3MD058;2020-01-19;14:00;0442477;ASB REZE 3;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;GYMNASE LIBERGE;;;;
ABCCS;10;3MD059;2020-01-19;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;MARVILLE;;;;
ABCCS;10;3MD060;2020-01-19;15:00;0353652;C.P.B. RENNES 35;0351417;RENNES ETUDIANTS CLUB;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;11;3MD061;2020-01-26;15:00;;xxxxx;0353652;C.P.B. RENNES 35;;;;;;;;
ABCCS;11;3MD062;2020-01-26;15:00;0351417;RENNES ETUDIANTS CLUB;0355169;VOLLEY BALL CLUB MALOUIN;;;;COURTEMANCHE;;;;
ABCCS;11;3MD063;2020-01-26;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0442477;ASB REZE 3;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;11;3MD064;2020-01-26;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0534442;ASPTT LAVAL;;;;LP DE LA CLOSERIE;;;;
ABCCS;11;3MD065;2020-01-26;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0293606;KLOAR-AVEN VB 29;;;;COUBERTIN;;;;
ABCCS;11;3MD066;2020-01-26;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0293600;SAINT-RENAN IROISE VOLLEY;;;;2 RUISSEAUX;;;;
